recipe_name,calories,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,vitamin_a_percent,vitamin_c_percent,calcium_percent,iron_percent
Biryani,533,23,70,33,2,2,265,24,22,13,25,23
Sindhi Biryani,454,32,46,21,12,6,973,77,39,14,25,23
Sajji,170,21,35,22,10,9,209,87,13,40,23,35
Korma,248,14,68,21,14,16,847,63,26,28,5,27
Paya,254,18,78,23,4,19,1358,78,21,35,6,13
Aloo Gosht,186,42,71,36,9,4,1138,57,13,7,17,34
Pakistani Main Course Special 88,485,47,54,24,9,11,926,80,14,9,10,29
Chapli Kabab,555,27,66,28,12,16,373,87,32,8,6,27
Pakistani Main Course Special 90,595,22,63,25,6,4,1235,22,23,13,26,29
Palak Paneer,547,39,32,26,3,2,434,99,12,29,29,13
Pakistani Main Course Special 92,351,12,41,20,6,5,303,21,33,18,8,29
Palak Paneer,482,38,64,34,3,2,212,34,28,11,17,24
Pakistani Main Course Special 94,423,32,64,29,5,15,1024,22,37,37,12,13
Pakistani Main Course Special 95,246,14,77,22,10,9,1184,74,24,11,10,11
Paya,249,38,43,17,11,3,586,0,28,16,9,31
Sindhi Biryani,599,24,64,24,11,18,778,24,27,15,6,24
Pakistani Main Course Special 98,408,38,55,17,7,4,344,99,16,32,10,10
Pakistani Main Course Special 99,482,6,57,26,10,12,279,47,28,40,8,20
Dal Makhani,346,48,74,26,11,13,1105,1,21,54,15,36
Seekh Kabab,152,7,59,10,14,8,351,51,24,57,5,26
Pakistani Main Course Special 102,590,18,58,29,13,18,1283,21,12,31,25,17
Chapli Kabab,275,32,79,30,12,11,1174,33,16,15,18,33
Haleem,606,43,57,19,10,16,204,68,30,37,23,21
Palak Paneer,460,39,61,15,12,18,1391,68,17,15,24,22
Biryani,230,24,54,19,6,2,713,0,7,30,9,34
Pakistani Main Course Special 107,451,43,74,23,6,7,1244,59,5,48,22,16
Haleem,683,42,51,28,7,14,714,16,5,41,25,35
Lahori Chargha,727,23,60,24,6,2,275,0,33,43,23,24
Chicken Tikka,292,27,79,27,4,11,984,34,11,43,8,10
Sindhi Biryani,687,40,49,18,13,3,1079,37,38,12,29,33
Korma,165,23,47,23,9,12,1022,88,30,42,8,19
Lahori Chargha,761,25,33,17,13,14,1229,14,9,8,12,38
Dal Makhani,666,31,63,22,7,17,1027,53,18,16,17,10
Biryani,608,20,72,35,6,6,357,27,38,55,5,21
Pakistani Main Course Special 116,610,15,62,26,2,15,789,60,22,18,17,20
Sajji,516,9,65,11,6,19,402,60,7,57,24,12
Paya,233,43,49,26,6,13,1082,38,20,45,28,23
Karahi,585,27,53,21,12,4,807,0,8,34,14,23
Chapli Kabab,344,10,44,22,2,12,1264,67,6,8,12,10
Korma,433,24,49,34,8,16,617,30,21,35,24,28
Sindhi Biryani,162,6,64,17,12,4,697,87,16,49,10,14
Chapli Kabab,428,10,75,12,3,17,482,66,19,56,9,36
Chapli Kabab,533,42,61,29,12,2,694,23,22,58,20,33
Karahi,517,48,57,21,3,11,568,0,31,32,18,27
Nihari,672,40,35,21,8,13,1422,18,25,29,7,21
Haleem,295,35,63,21,3,16,830,18,26,5,27,31
Karahi,185,30,30,17,2,5,385,49,10,16,10,14
Karahi,415,41,53,15,9,14,1436,29,31,6,12,22
Pakistani Main Course Special 130,184,11,78,24,2,15,1114,92,17,27,15,24
Korma,252,34,76,24,11,14,903,46,25,24,12,19
Pakistani Main Course Special 132,613,19,71,18,7,18,689,83,15,51,18,22
Pakistani Main Course Special 133,351,15,53,28,4,17,1114,90,27,34,10,37
Pakistani Main Course Special 134,495,5,44,25,8,7,668,65,37,53,19,39
Pakistani Main Course Special 135,367,18,37,22,14,3,398,12,25,56,27,24
Sajji,377,21,78,24,11,17,888,41,36,46,16,32
Paya,346,27,38,34,10,6,548,98,14,34,15,33
Pakistani Main Course Special 138,412,44,47,29,14,19,921,28,15,46,11,15
Sindhi Biryani,240,36,64,15,12,15,322,6,19,35,19,15
Paya,150,40,69,30,6,4,1224,3,21,7,28,22
Pakistani Main Course Special 141,792,47,52,29,2,10,1105,80,39,20,23,25
Pakistani Main Course Special 142,681,45,45,15,14,13,776,32,34,40,5,10
Nihari,694,32,42,20,12,9,363,0,39,27,22,13
Biryani,699,34,32,32,8,14,866,55,16,51,25,21
Biryani,583,46,75,18,7,8,771,24,27,21,12,23
Pakistani Main Course Special 146,306,36,41,39,9,13,1038,69,22,39,7,21
Karahi,429,13,30,27,7,3,313,59,26,58,10,33
Pakistani Main Course Special 148,226,35,65,35,2,17,801,11,13,27,18,23
Chicken Tikka,659,45,31,33,14,18,594,70,8,23,29,38
Nihari,212,34,46,21,14,3,398,28,16,30,6,16
Chicken Tikka,294,42,51,37,13,11,820,58,12,39,29,32
Korma,707,20,40,37,6,3,1104,69,6,22,8,26
Pakistani Main Course Special 153,594,47,41,30,13,3,1293,61,32,58,20,24
Pakistani Main Course Special 154,560,40,77,16,13,12,627,10,19,42,26,36
Pakistani Main Course Special 155,467,17,70,17,13,8,747,9,33,47,29,15
Haleem,365,28,79,27,4,4,1117,12,16,19,10,14
Nihari,508,30,61,36,10,4,940,8,19,59,17,12
Pakistani Main Course Special 158,510,22,78,32,5,8,379,1,39,51,9,10
Chapli Kabab,674,30,56,31,13,8,921,0,8,47,16,16
Aloo Gosht,409,5,62,24,8,14,922,23,20,49,29,19
Pakistani Main Course Special 161,518,17,53,20,9,16,607,62,35,44,15,29
Chapli Kabab,525,21,32,24,11,18,1267,21,5,33,6,37
Chapli Kabab,327,43,34,19,13,2,1063,77,23,9,8,33
Chicken Tikka,482,8,38,27,2,9,690,87,16,42,22,13
Pakistani Main Course Special 165,462,21,61,39,9,13,283,40,8,15,14,10
Biryani,440,46,55,25,8,10,925,2,21,50,9,10
Paya,244,32,66,30,9,17,1419,95,17,22,9,37
Seekh Kabab,630,6,43,25,14,9,984,44,35,58,14,24
Paya,653,12,74,29,14,9,215,55,23,10,5,38
Pakistani Main Course Special 170,618,33,38,25,13,10,1162,44,21,34,27,10
Haleem,748,47,66,24,6,3,629,52,10,53,17,14
Pakistani Main Course Special 172,481,14,67,24,11,2,544,32,30,50,15,32
Nihari,416,16,40,23,10,10,895,48,13,13,15,22
Korma,253,41,60,35,10,7,297,83,9,38,19,11
Pakistani Main Course Special 175,169,49,44,39,5,10,1246,93,36,58,21,29
Korma,340,11,42,17,14,11,931,6,37,17,21,15
Aloo Gosht,460,20,46,21,5,15,269,65,16,8,11,21
Chicken Tikka,528,34,42,19,12,16,566,81,39,50,17,29
Korma,523,12,43,21,5,8,926,13,5,42,8,34
Pakistani Main Course Special 180,619,7,38,17,13,11,1398,0,30,31,24,24
Pakistani Main Course Special 181,655,8,71,24,8,17,751,25,23,53,23,13
Nihari,664,40,68,20,14,9,892,66,20,38,16,33
Karahi,269,6,68,29,12,10,1020,81,32,27,14,28
Paya,720,18,73,27,12,12,393,51,39,24,18,32
Pakistani Main Course Special 185,743,36,68,23,2,10,1006,91,13,25,27,22
Lahori Chargha,793,8,47,11,4,17,856,97,12,54,21,32
Pakistani Main Course Special 187,669,42,79,28,14,16,1302,11,34,38,7,16
Pakistani Main Course Special 188,262,48,75,36,9,17,838,82,26,46,15,31
Biryani,390,44,34,29,3,7,1485,81,7,41,23,25
Seekh Kabab,617,38,76,27,13,16,1143,96,33,52,29,26
Nihari,242,31,78,15,6,8,997,51,28,34,13,39
Seekh Kabab,494,23,67,28,8,7,1209,0,21,16,17,13
Pakistani Main Course Special 193,162,38,39,35,7,7,720,43,30,12,11,20
Korma,175,5,51,21,3,18,1186,18,11,37,9,28
Biryani,474,41,40,27,5,9,224,46,11,12,16,28
Chicken Tikka,394,34,49,24,5,2,1149,28,21,48,13,34
Pakistani Main Course Special 197,238,24,65,29,9,7,1017,18,13,19,18,20
Korma,237,18,76,18,2,6,202,46,7,5,17,12
Pakistani Main Course Special 199,524,34,63,19,5,10,373,33,15,32,9,28
Paya,505,33,61,37,5,5,1491,83,16,53,17,20
Karahi,300,17,77,11,13,17,929,25,23,23,15,37
Pakistani Main Course Special 202,284,21,73,23,7,6,1344,30,8,44,16,18
Pakistani Main Course Special 203,537,47,70,36,6,14,325,81,26,22,14,13
Pakistani Main Course Special 204,481,29,39,16,13,14,631,41,23,43,5,37
Nihari,705,16,75,14,10,15,952,1,38,15,15,17
Korma,474,11,65,24,10,14,575,0,18,14,12,21
Seekh Kabab,767,46,68,39,5,11,1435,60,19,18,26,31
Karahi,189,11,63,15,5,5,495,13,32,13,14,12
Pakistani Main Course Special 209,348,48,62,31,6,14,1031,12,10,20,25,39
Biryani,505,20,38,38,4,4,1064,55,22,29,21,13
Haleem,485,38,30,16,14,11,1208,35,34,47,17,31
Chicken Tikka,581,41,60,17,8,14,338,0,25,31,5,30
Biryani,381,37,33,37,10,11,1122,69,31,37,16,29
Sindhi Biryani,405,46,63,17,12,13,1462,45,37,6,5,18
Haleem,663,47,40,15,7,14,507,43,21,43,19,16
Nihari,439,35,77,32,2,10,666,35,34,55,6,36
Korma,714,15,68,12,5,7,1298,91,30,42,14,12
Korma,300,46,43,26,12,18,669,0,9,41,8,32
Karahi,463,36,69,34,7,16,1442,27,23,7,17,34
Palak Paneer,165,31,69,17,9,9,763,4,24,16,21,27
Aloo Gosht,608,39,63,38,5,17,855,74,25,29,26,35
Pakistani Main Course Special 222,411,44,43,19,7,5,1093,53,37,59,29,24
Karahi,342,29,77,23,9,16,1298,93,9,40,5,34
Dal Makhani,645,9,56,17,4,6,383,25,33,50,15,13
Haleem,445,46,49,22,8,4,1014,49,6,23,19,17
Karahi,284,15,74,29,13,9,1305,71,37,27,27,18
Sajji,216,24,51,16,8,9,814,86,29,5,22,29
Sajji,693,31,64,20,8,14,607,35,15,51,21,13
Palak Paneer,156,17,74,23,10,18,800,73,18,38,13,32
Pakistani Main Course Special 230,604,6,64,17,13,9,678,61,32,12,25,11
Chicken Tikka,289,5,37,15,5,6,550,6,11,31,27,34
Paya,253,15,43,16,14,14,481,0,22,42,12,38
Pakistani Main Course Special 233,318,8,40,25,8,8,516,0,25,47,28,39
Lahori Chargha,443,47,40,30,9,18,1426,20,11,43,9,13
Dal Makhani,398,36,36,33,6,2,582,44,30,55,16,23
Biryani,363,14,72,11,10,16,1039,90,37,58,23,26
Lahori Chargha,515,27,51,32,12,8,640,0,11,40,26,37
Palak Paneer,293,38,45,20,5,7,412,1,7,30,23,30
Seekh Kabab,631,49,72,23,6,10,430,78,35,8,14,21
Pakistani Main Course Special 240,512,43,31,27,9,11,363,11,9,41,13,23
Dal Makhani,469,45,64,30,12,13,1219,13,28,45,25,19
Chicken Tikka,470,45,44,39,13,3,375,0,27,10,19,26
Pakistani Main Course Special 243,702,26,62,27,5,19,598,33,31,19,21,38
Chicken Tikka,558,42,45,27,9,10,820,49,8,33,19,36
Dal Makhani,155,21,56,18,8,9,246,5,27,32,23,33
Aloo Gosht,206,11,51,26,2,11,774,91,19,31,14,31
Dal Makhani,708,33,62,25,11,19,862,59,23,18,5,35
Haleem,185,49,77,28,12,5,1045,0,9,26,27,34
Aloo Gosht,794,35,42,20,3,15,929,89,33,37,21,18
Aloo Gosht,576,47,61,25,3,10,1315,28,23,45,9,19
Sajji,267,5,56,20,8,4,1194,66,27,24,25,31
Chapli Kabab,577,15,77,27,10,19,364,77,8,26,24,29
Seekh Kabab,185,44,49,23,9,7,653,38,12,44,18,24
Seekh Kabab,518,40,36,33,14,2,468,26,18,35,24,37
Paya,525,19,35,27,12,17,1129,47,22,43,20,17
Pakistani Main Course Special 256,236,42,35,18,13,17,286,37,10,13,6,10
Sajji,349,18,77,25,14,14,1337,0,33,42,17,39
Paya,614,10,56,19,13,6,1431,97,37,57,11,37
Pakistani Main Course Special 259,163,19,59,20,4,2,666,54,28,8,22,36
Chapli Kabab,672,46,49,21,13,17,556,37,7,17,22,19
Palak Paneer,393,15,51,17,11,11,972,55,19,34,7,17
Pakistani Main Course Special 262,572,48,65,22,10,8,550,42,36,22,8,10
Chicken Tikka,602,8,65,13,14,7,576,35,11,42,9,13
Lahori Chargha,522,33,77,17,10,16,728,71,39,20,21,37
Pakistani Main Course Special 265,395,49,31,21,8,17,587,47,22,36,23,30
Palak Paneer,449,13,37,27,2,6,969,26,10,58,6,29
Haleem,773,19,30,27,9,18,1376,76,9,36,14,19
Aloo Gosht,382,7,66,27,3,3,236,33,10,11,29,34
Aloo Gosht,562,32,52,24,13,15,1143,88,22,41,16,19
Pakistani Main Course Special 270,678,48,54,34,6,12,1056,67,35,14,28,27
Lahori Chargha,588,14,68,24,2,16,219,61,13,10,5,19
Paya,248,25,50,31,13,9,323,73,39,36,21,32
Chicken Tikka,455,47,77,30,9,7,383,33,18,23,7,29
Aloo Gosht,304,38,61,17,2,19,931,65,36,29,19,13
Pakistani Main Course Special 275,332,9,30,25,3,7,333,11,38,27,6,27
Karahi,285,34,65,17,9,7,1018,32,29,19,29,34
Pakistani Main Course Special 277,428,47,74,27,9,10,943,44,5,36,15,13
Pakistani Main Course Special 278,418,30,42,28,7,13,1121,8,19,22,22,29
Palak Paneer,481,20,43,32,3,2,339,58,19,50,11,10
Nihari,374,38,43,32,11,15,221,3,29,28,13,27
Aloo Gosht,793,16,64,29,5,9,871,54,24,28,22,37
Dal Makhani,417,43,59,26,5,7,1293,33,33,41,13,21
Seekh Kabab,183,20,54,38,5,2,574,53,21,35,14,35
Biryani,155,43,44,25,3,6,225,80,22,49,25,17
Paya,456,27,70,24,11,17,490,55,10,25,26,38
Chapli Kabab,752,30,79,25,2,13,1149,34,32,7,8,29
Pakistani Main Course Special 287,774,8,65,29,10,15,518,49,24,24,6,31
Haleem,670,19,48,27,9,19,789,15,6,5,21,19
Paya,683,27,48,18,4,15,252,59,12,14,28,29
Paya,711,31,39,39,14,15,1005,12,19,32,19,22
Pakistani Main Course Special 291,170,42,76,37,13,2,1397,99,17,59,10,12
Sajji,704,11,59,28,6,3,832,43,10,40,14,35
Korma,293,28,54,23,14,19,954,36,39,38,22,14
Seekh Kabab,208,32,50,36,6,7,283,14,14,30,16,29
Karahi,687,30,67,20,9,17,973,78,15,32,12,14
Sajji,796,29,51,38,4,12,967,41,23,31,23,13
Paya,269,16,71,19,12,14,978,25,13,10,17,25
Pakistani Main Course Special 298,522,39,33,29,5,5,688,61,22,12,8,13
Dal Makhani,698,44,78,25,14,8,210,79,19,46,18,25
Chicken Tikka,461,21,47,23,10,18,965,99,27,9,13,16
Palak Paneer,688,12,56,28,4,11,785,0,15,23,27,20
Pakistani Main Course Special 302,477,27,58,34,12,3,1038,33,25,42,12,11
Pakistani Main Course Special 303,620,5,40,20,6,17,333,39,32,14,15,26
Pakistani Main Course Special 304,556,6,77,25,3,7,353,77,15,57,24,34
Palak Paneer,525,17,43,20,11,5,601,4,19,58,24,36
Pakistani Main Course Special 306,681,46,39,16,6,8,1322,29,38,59,16,38
Paya,710,41,31,24,10,16,230,15,32,19,20,30
Dal Makhani,782,13,67,17,3,13,1398,37,33,49,12,15
Pakistani Main Course Special 309,521,21,47,27,5,6,1426,20,6,28,14,34
Chicken Tikka,198,7,55,19,5,3,549,40,8,21,10,33
Pakistani Main Course Special 311,712,31,61,21,2,13,685,97,33,14,11,16
Pakistani Main Course Special 312,709,41,69,30,13,18,913,42,16,59,28,34
Sajji,703,32,61,26,14,5,484,38,28,14,15,28
Pakistani Main Course Special 314,203,37,47,27,5,6,1295,69,29,48,15,11
Pakistani Main Course Special 315,416,15,46,24,11,9,474,39,31,35,12,32
Sindhi Biryani,699,39,57,24,8,15,670,0,14,22,17,27
Lahori Chargha,260,24,59,21,7,9,1304,16,22,11,23,26
Lahori Chargha,750,46,35,24,8,17,1497,25,25,49,29,16
Nihari,197,46,58,25,13,15,1389,55,33,26,12,13
Dal Makhani,599,14,73,22,6,2,522,75,34,48,8,25
Haleem,607,22,34,36,2,11,587,32,36,56,19,31
Sindhi Biryani,265,29,54,39,2,7,1498,32,26,32,6,30
Nihari,758,10,54,12,9,14,1163,96,20,38,22,13
Korma,762,12,46,24,2,7,863,27,18,9,14,16
Lahori Chargha,183,16,65,29,5,12,948,64,21,57,24,20
Lahori Chargha,578,27,74,25,12,2,1463,0,37,59,11,28
Korma,559,11,31,24,5,7,658,16,24,28,13,30
Dal Makhani,569,49,52,22,9,15,845,62,19,41,25,38
Chicken Tikka,284,40,52,27,3,19,1340,53,35,21,28,38
Sajji,310,21,55,21,6,10,649,59,38,46,12,13
Dal Makhani,167,18,53,21,12,4,597,31,13,42,5,26
Chicken Tikka,473,44,76,19,14,19,436,0,34,29,8,23
Pakistani Main Course Special 333,183,9,39,15,8,5,338,1,30,44,27,25
Biryani,179,26,73,28,3,15,426,44,12,47,7,24
Haleem,546,34,40,34,4,2,531,57,32,55,9,20
Nihari,576,12,77,26,8,2,1373,61,14,50,13,18
Seekh Kabab,216,47,74,37,13,12,628,23,12,17,23,34
Lahori Chargha,646,10,51,11,10,15,1176,65,35,12,6,20
Pakistani Main Course Special 339,618,37,60,33,12,14,680,45,21,51,28,38
Biryani,258,30,52,18,10,5,1210,26,38,43,10,23
Sindhi Biryani,746,12,76,14,12,12,328,83,26,13,17,19
Karahi,270,42,31,37,9,6,1037,0,23,22,29,28
Dal Makhani,653,12,43,18,11,2,1459,6,14,38,19,32
Palak Paneer,402,44,38,38,7,5,740,0,35,53,16,21
Pakistani Main Course Special 345,672,21,78,34,4,14,1160,68,5,34,29,21
Palak Paneer,563,36,65,30,10,14,262,61,15,13,28,39
Pakistani Main Course Special 347,583,20,48,18,2,16,1138,23,19,21,29,23
Lahori Chargha,672,46,33,26,5,19,1378,84,32,44,26,20
Sajji,550,19,32,18,8,5,593,3,23,58,16,17
Biryani,738,15,39,14,2,10,1070,5,9,17,26,28
Pakistani Main Course Special 351,611,38,50,37,8,5,820,13,16,11,9,29
Pakistani Main Course Special 352,669,21,46,18,11,4,836,68,30,42,23,28
Sajji,623,38,70,16,6,11,330,71,21,44,8,11
Aloo Gosht,691,6,37,27,11,4,758,19,15,57,9,26
Pakistani Main Course Special 355,489,11,61,14,3,13,1126,9,31,40,23,33
Sindhi Biryani,636,7,58,10,11,16,202,21,25,30,24,17
Pakistani Main Course Special 357,601,30,39,34,11,18,717,29,17,59,24,28
Chicken Tikka,425,48,38,35,3,18,1040,29,15,46,23,29
Pakistani Main Course Special 359,215,49,57,36,9,4,1247,5,10,16,13,31
Paya,564,7,77,24,6,15,563,37,25,21,17,34
Pakistani Main Course Special 361,580,41,73,19,8,19,1048,78,35,19,9,38
Dal Makhani,549,28,75,35,9,17,648,75,15,22,8,37
Pakistani Main Course Special 363,431,25,49,31,8,15,1275,43,35,16,21,39
Pakistani Main Course Special 364,649,31,34,27,10,4,491,96,18,41,29,16
Aloo Gosht,761,29,54,23,8,15,1423,98,20,59,14,32
Sajji,584,43,33,22,14,2,531,0,36,55,14,29
Dal Makhani,412,49,74,25,3,7,1410,0,17,55,5,24
Sindhi Biryani,650,25,59,37,9,12,897,0,29,37,9,11
Nihari,185,35,66,39,8,16,1403,45,22,28,25,36
Pakistani Main Course Special 370,370,40,31,34,2,10,415,46,18,53,20,16
Lahori Chargha,364,15,69,14,11,15,956,91,21,7,12,30
Dal Makhani,746,21,45,36,10,3,412,78,37,33,24,37
Karahi,351,21,39,21,2,7,348,78,36,48,7,22
Pakistani Main Course Special 374,765,12,50,25,6,11,321,8,15,52,16,16
Pakistani Main Course Special 375,220,40,73,34,5,12,1448,20,20,14,14,34
Pakistani Main Course Special 376,340,49,41,15,9,7,1024,95,11,29,15,28
Chapli Kabab,465,40,79,24,4,5,857,33,34,9,9,33
Paya,618,27,54,27,10,3,1203,36,39,11,7,23
Seekh Kabab,387,31,43,39,14,17,575,36,26,20,29,24
Aloo Gosht,497,24,50,25,4,10,1350,69,24,31,24,17
Aloo Gosht,289,5,43,11,2,3,222,32,32,27,24,39
Karahi,351,31,61,23,2,8,368,40,27,11,17,37
Haleem,210,36,72,30,4,3,534,92,20,28,23,18
Lahori Chargha,501,46,59,33,13,8,1010,92,22,46,10,32
Sajji,525,36,76,27,13,6,1300,77,34,50,28,23
Karahi,348,12,46,29,11,4,807,43,17,41,19,38
Lahori Chargha,749,47,31,30,14,18,1426,41,24,12,10,19
Lahori Chargha,348,17,78,18,11,9,1055,15,5,20,23,14
Pakistani Main Course Special 389,550,46,43,15,6,7,558,41,38,26,25,35
Pakistani Main Course Special 390,413,43,49,23,7,7,613,0,27,58,6,32
Korma,392,18,74,11,3,16,1041,64,7,25,18,27
Korma,578,41,50,16,8,18,1150,40,18,17,24,22
Dal Makhani,729,19,56,29,12,7,1299,16,24,29,28,20
Seekh Kabab,415,21,33,19,13,7,783,85,30,52,24,17
Pakistani Main Course Special 395,593,7,65,21,7,10,611,61,21,7,13,31
Palak Paneer,610,28,79,39,11,17,642,29,39,53,27,20
Sajji,735,34,70,16,8,10,775,71,12,16,10,21
Sindhi Biryani,261,6,73,20,12,19,800,50,21,26,20,18
Dal Makhani,702,25,79,23,8,13,901,94,20,37,25,26
Pakistani Main Course Special 400,223,35,51,30,8,10,1179,88,6,41,6,23
Pakistani Main Course Special 401,653,37,47,26,4,5,1065,54,34,43,9,38
Karahi,473,19,43,29,9,14,415,62,6,42,9,17
Pakistani Main Course Special 403,388,16,68,28,13,15,924,90,24,59,23,24
Chapli Kabab,423,18,54,16,10,13,1282,19,15,14,13,36
Chapli Kabab,546,13,64,19,12,5,1456,94,13,43,23,33
Dal Makhani,677,20,45,28,14,14,983,3,30,46,13,39
Pakistani Main Course Special 407,569,36,64,33,9,12,1397,25,21,51,13,19
Pakistani Main Course Special 408,600,11,77,23,9,15,551,43,37,35,13,30
Dal Makhani,263,6,33,13,9,3,1135,96,19,53,19,37
Pakistani Main Course Special 410,410,47,67,19,11,6,1172,1,5,41,23,13
Aloo Gosht,779,31,51,26,5,7,1015,46,23,47,26,15
Lahori Chargha,755,16,45,26,7,18,1492,78,34,36,9,26
Aloo Gosht,256,34,31,18,8,12,251,0,14,59,29,24
Paya,343,14,44,20,11,4,1332,29,36,27,24,14
Pakistani Main Course Special 415,199,42,43,20,2,5,1497,42,5,11,18,34
Pakistani Main Course Special 416,656,41,46,20,9,3,1246,0,18,29,26,34
Karahi,387,14,70,22,4,14,329,81,21,29,20,27
